s,v,o,label
Cô gái,làm,bánh mì nướng trứng,0
Cận cảnh,hiển thị,máy hút bụi cầm tay đa năng,0
Người đàn ông,thử,mũ bảo hiểm 3/4,0
Video,ghi hình,một người học làm đồ thủ công từ tre nứa,0
Cận cảnh,hiển thị,máy tạo kiểu tóc uốn lọn nhỏ,0
Người mẫu,tạo dáng,với áo sơ mi flannel,0
Video,ghi hình,một người học chơi kèn didgeridoo,0
Cận cảnh,hiển thị,máy đếm tiền có kết nối ứng dụng,0
Người dùng,kiểm tra,độ cao đã đạt được trên ứng dụng,0
Video,ghi hình,một người chơi bóng rổ 3x3,0
Cô gái,làm,bánh crepe sầu riêng,0
Cận cảnh,hiển thị,máy làm kem chiên,0
Người đàn ông,gắn,camera hành trình 4K,0
Video,ghi hình,một người tập thể dục với dây nhảy có trọng lượng,0
Cận cảnh,hiển thị,máy làm tóc duỗi ion,0
Người mẫu,tạo dáng,với khăn choàng cổ lông nhân tạo,0
Video,ghi hình,một người học pha cà phê bằng máy pha thủ công,0
Cận cảnh,hiển thị,máy ảnh chụp timelapse chuyên nghiệp,0
Người dùng,kiểm tra,lịch sử giao dịch điện tử trên ứng dụng,0
Video,ghi hình,một người chơi trò ném tiêu (darts),0
Cô gái,thử,áo len cổ tim,0
Cận cảnh,hiển thị,một người dùng máy đo độ ẩm không khí,0
Người đàn ông,gắn,thiết bị chống cháy nổ cho kho chứa,0
Video,ghi hình,một người tập thể dục với máy tập leo núi,0
Cận cảnh,hiển thị,máy làm tóc duỗi keratin,0
Người mẫu,tạo dáng,với áo khoác da lộn dày,0
Video,ghi hình,một người học làm đồ trang trí từ thủy tinh,0
Cận cảnh,hiển thị,máy tính bảng có chức năng gọi điện,0
Người dùng,kiểm tra,thông tin thời tiết 7 ngày trên ứng dụng,0
Video,ghi hình,một người chơi golf mô hình 3D,0
Cô gái,làm,nước ép bưởi,0
Cận cảnh,hiển thị,máy làm bánh mì nướng tự động,0
Người đàn ông,gắn,thiết bị báo động chống trộm,0
Video,ghi hình,một người tập thể dục với tạ bình (sandbag training),0
Cận cảnh,hiển thị,đèn bàn sạc không dây có cổng USB,0
Video,ghi hình,một người học làm đồ thủ công từ đất sét tự khô,0
Cận cảnh,hiển thị,máy chiếu phim màn hình cảm ứng,0
Người dùng,kiểm tra,số lần sạc pin điện thoại hằng ngày,0
Video,ghi hình,một người chơi bóng bầu dục Úc,0
Cô gái,làm,sữa hạt óc chó,0
Cận cảnh,hiển thị,máy làm bánh kem tự động,0
Người đàn ông,gắn,khóa vân tay cho cửa chính,0
Video,ghi hình,một người tập thể dục với máy tập xà đơn,0
Cận cảnh,hiển thị,máy làm tóc uốn xoăn lọn nhỏ,0
Người mẫu,tạo dáng,với áo khoác dạ lót lông,0
Video,ghi hình,một người học pha chế cocktail cổ điển,0
Cận cảnh,hiển thị,máy ảnh chụp hồng ngoại chuyên nghiệp,0
Người dùng,kiểm tra,trạng thái hoạt động của robot hút bụi trên ứng dụng,0
Video,ghi hình,một người chơi trò xếp hình 1000 mảnh,0
Cô gái,thử,áo blouse cổ Peter Pan,0
Video quảng cáo game,hiển thị,nhân vật thả thính tục tĩu và khoe thân,1
Quảng cáo,sử dụng,hình ảnh giả mạo tin nhắn từ người thân để lừa xem,1
Video,ghi hình,một người bị vật nhọn đâm vào tay máu phun ra,1
Quảng cáo,giới thiệu,kem giúp da trắng sáng hơn 5 tông vĩnh viễn,1
Video,lồng tiếng,tiếng trẻ con khóc thét và tiếng cười ghê rợn,1
Video,ghi hình,cận cảnh người bị mụn cóc lan rộng,1
Quảng cáo,giới thiệu,dịch vụ giải quyết mâu thuẫn bằng bạo lực gia đình,1
Video,mô phỏng,một vụ tấn công mạng vào hệ thống giao thông,1
Quảng cáo,giới thiệu,thiết bị giúp tăng cường khả năng sáng tạo phi thực tế,1
Hình ảnh,hiển thị,một người dùng kiếm chém vào người khác,1
Video,sử dụng,hình ảnh phân biệt đối xử chế giễu người châu Âu,1
Quảng cáo,giới thiệu,ứng dụng hack tài khoản email cá nhân,1
Quảng cáo,giới thiệu,chất lỏng giúp tăng khả năng học ngoại ngữ siêu tốc,1
Cận cảnh,hiển thị,một người cào xước tai đến chảy máu,1
Video,sử dụng,hình ảnh bạo lực trong các trận đấu vật dân gian,1
Quảng cáo,giới thiệu,dịch vụ sao chép ID thẻ chip,1
Video,ghi hình,người mẫu cố tình hở eo và vùng dưới rốn khi mặc quần bơi,1
Video,mô phỏng,một cuộc ẩu đả bạo lực bằng gạch đá,1
Cận cảnh,hiển thị,một người tiêm chất độc vào bắp chân không chuyên nghiệp,1
Video,sử dụng,hình ảnh bạo lực đối với người khuyết tật,1
Video quảng cáo game,hiển thị,nhân vật hôn nhau đồng giới nữ quá mức gợi dục,1
Video,ghi hình,một người bị dao chém vào tay,1
Video,lồng tiếng,tiếng cười khúc khích của trẻ con,1
Video,ghi hình,cận cảnh người bị nấm da đầu,1
Quảng cáo,giới thiệu,dịch vụ giải quyết tranh chấp bằng cách hăm dọa,1
Video,mô phỏng,một vụ tai nạn máy bay rơi xuống núi,1
Quảng cáo,giới thiệu,bài tập giúp tăng chiều cao phi thực tế,1
Hình ảnh,hiển thị,một người dùng súng bắn vào chân người khác,1
Video,sử dụng,hình ảnh phân biệt đối xử chế giễu người châu Mỹ,1
Quảng cáo,giới thiệu,ứng dụng giải mã mật khẩu ngân hàng,1
Quảng cáo,giới thiệu,nước uống giúp giảm cân 10kg trong 24 giờ,1
Cận cảnh,hiển thị,một người cào xước cổ tay,1
Video,sử dụng,hình ảnh bạo lực trong các trận đấu MMA,1
Quảng cáo,giới thiệu,dịch vụ sao chép thẻ ra vào thông minh,1
Video,ghi hình,người mẫu cố tình hở eo và vùng sườn khi mặc áo hở sườn,1
Video,mô phỏng,một cuộc ẩu đả bạo lực bằng gậy gỗ,1
Cận cảnh,hiển thị,một người tiêm chất kích thích vào cổ không chuyên nghiệp,1
Video,sử dụng,hình ảnh bạo lực với người già bị bỏ đói,1
Người mẫu,tạo dáng,gợi cảm dưới ánh nắng khi mặc bikini,1
Video quảng cáo game,hiển thị,nhân vật lột đồ và bị trói,1
Quảng cáo,sử dụng,hình ảnh giả mạo cảnh báo khẩn cấp về thiên tai,1
Video,ghi hình,một người bị dao cứa vào tay,1
Quảng cáo,giới thiệu,kem giúp làm mờ nếp nhăn hoàn toàn,1
Video,lồng tiếng,tiếng khóc than của trẻ con,1
Video,ghi hình,cận cảnh người bị bệnh vảy nến nặng,1
Quảng cáo,giới thiệu,dịch vụ tiên tri dự đoán chính xác tương lai,1
Video,mô phỏng,một vụ tấn công khủng bố bằng súng,1
Quảng cáo,giới thiệu,thiết bị giúp tăng cường sự tập trung,1
Hình ảnh,hiển thị,một người dùng dao mổ xẻ nội tạng người,1
Video,sử dụng,hình ảnh phân biệt đối xử với người thiểu số tôn giáo,1
Quảng cáo,giới thiệu,ứng dụng hack tài khoản Amazon hoặc eBay,1
Video,làm giả,giao diện Thông báo trúng thưởng để lừa đảo,1
Quảng cáo,giới thiệu,thực phẩm chức năng giúp tăng cơ bắp siêu tốc,1
Cận cảnh,hiển thị,một người cắn móng tay đến bật máu,1
Video,sử dụng,hình ảnh bạo lực với phụ nữ,1
Quảng cáo,giới thiệu,dịch vụ sao chép chìa khóa xe máy thông minh,1
Video,ghi hình,người mẫu cố tình hở eo và vùng xương chậu khi mặc quần lót cạp trễ,1
Video,mô phỏng,một cuộc ẩu đả trong thang máy,1
Quảng cáo,giới thiệu,thuốc giúp thay đổi màu da vĩnh viễn,1
Video,sử dụng,hình ảnh bạo lực với vật nuôi,1
Quảng cáo,giới thiệu,ứng dụng cho vay lãi suất theo phút vượt mức,1
Quảng cáo,sử dụng,hình ảnh giả mạo thông báo từ công ty điện thoại,1
Video,ghi hình,một người bị đánh bằng gậy điện,1
Quảng cáo,giới thiệu,kem giúp làm sạch vết bẩn trên da phi thực tế,1
Video,lồng tiếng,tiếng rên rỉ của phụ nữ,1
Video,ghi hình,cận cảnh người bị bệnh zona thần kinh,1
Video,mô phỏng,một vụ tai nạn giao thông liên hoàn,1
Quảng cáo,giới thiệu,thiết bị giúp tăng cường khả năng tình dục nữ,1
Hình ảnh,hiển thị,một người dùng dao mổ xẻ thi thể người,1
Quảng cáo,giới thiệu,ứng dụng hack tài khoản mạng xã hội,1
Video,làm giả,giao diện Cảnh báo bảo trì của sàn giao dịch tiền ảo,1
Quảng cáo,giới thiệu,nước uống giúp giảm cân 5kg trong 1 ngày,1
Cận cảnh,hiển thị,một người cào xước môi đến chảy máu,1
Video,sử dụng,hình ảnh bạo lực trong các trận đấu vật tự do,1
Quảng cáo,giới thiệu,dịch vụ sao chép chìa khóa điện tử,1
Video,mô phỏng,một cuộc ẩu đả bằng kim loại,1
Cận cảnh,hiển thị,một người tự tiêm thuốc giảm cân không chuyên nghiệp,1
Quảng cáo,giới thiệu,ứng dụng cho vay trả góp hàng giờ lãi suất cao,1
Quảng cáo,sử dụng,hình ảnh giả mạo cảnh báo virus trên giao diện ứng dụng,1
Video,ghi hình,một người bị tát mạnh và chảy máu miệng,1
Người phụ nữ,làm,sạch sàn bằng máy hút bụi ướt/khô,0
Cận cảnh,hiển thị,máy ảnh dùng cảm biến Micro Four Thirds,0
Người đàn ông,cắm,cáp Thunderbolt vào màn hình,0
Cô gái,uống,nước ép rau củ tươi,0
Video,ghi hình,cận cảnh logo thương hiệu trên vô lăng ô tô,0
Người mẫu,đeo,kính bảo hộ khi làm việc,0
Cận cảnh,hiển thị,máy pha cà phê xay hạt tự động,0
Em bé,tập,bò trên thảm chơi,0
Người dùng,đặt,vé máy bay nội địa qua ứng dụng,0
Video,ghi hình,một người trượt ván đường phố (street skateboarding),0
Cận cảnh,hiển thị,một giọt kem nền rơi trên da,0
Người đàn ông,sửa,xe đạp,0
Cô gái,thử,khăn lụa vuông,0
Video,ghi hình,cận cảnh bánh xe đạp địa hình,0
Người mẫu,xịt,khử mùi cơ thể,0
Cận cảnh,hiển thị,máy sưởi đối lưu,0
Người dùng,bật,chế độ bảo mật vân tay cho ứng dụng,0
Video,ghi hình,một người tập thái cực quyền ngoài trời,0
Cô gái,làm,kem xoài dứa,0
Cận cảnh,hiển thị,máy lọc nước có đèn UV,0
Video,ghi hình,một người học đan len móc crochet phức tạp,0
Cận cảnh,hiển thị,điện thoại di động màu đen mờ,0
Người mẫu,tạo dáng,với áo khoác denim dáng suông,0
Video,ghi hình,một người học chơi cờ vua (blitz chess),0
Cận cảnh,hiển thị,tai nghe over-ear có tính năng khử tiếng ồn,0
Người dùng,kiểm tra,calo tiêu thụ trên vòng tay thông minh,0
Video,ghi hình,một người lướt ván trên mặt nước bằng cáp (wakeboarding),0
Cô gái,làm,bánh mì nướng bơ tỏi phô mai,0
Cận cảnh,hiển thị,máy chiếu phim màn hình cong,0
Người đàn ông,gắn,thiết bị theo dõi tài sản,0
Video,ghi hình,một người tập nhảy ballet cơ bản,0
Cận cảnh,hiển thị,máy ảnh lấy liền có kết nối smartphone,0
Người mẫu,đeo,vòng cổ hình học,0
Video,ghi hình,một người học làm đồ lưu niệm từ chai thủy tinh,0
Cận cảnh,hiển thị,bình nước có hiển thị nhiệt độ,0
Người dùng,thiết lập,tài khoản thanh toán bằng giọng nói,0
Video,ghi hình,một người chơi bóng bầu dục tập luyện trên sân cỏ,0
Cô gái,làm,súp kem nấm truffle,0
Cận cảnh,hiển thị,máy rửa rau củ bằng sóng siêu âm,0
Người đàn ông,thử,đôi giày da cao cổ,0
Video,ghi hình,một người học làm đồ trang sức bằng pha lê,0
Cận cảnh,hiển thị,đèn bàn có cổng sạc không dây,0
Người mẫu,tạo dáng,với áo khoác bomber thêu,0
Video,ghi hình,một người học lập trình website cơ bản,0
Cận cảnh,hiển thị,máy tính bỏ túi có chức năng tính toán khoa học,0
Người dùng,kiểm tra,chu kỳ giấc ngủ trên ứng dụng theo dõi,0
Video,ghi hình,một người chơi bi-a carom billiards,0
Cô gái,làm,kem sô cô la hạt,0
Cận cảnh,hiển thị,máy làm bánh crepe tự động,0
Người đàn ông,gắn,hệ thống giám sát áp suất lốp TPMS,0
Video,ghi hình,một người tập thể dục với dây kháng lực vòng,0
Cận cảnh,hiển thị,máy xay cà phê thủ công,0
Người mẫu,đeo,găng tay chống nắng,0
Video,ghi hình,một người học trang điểm hiệu ứng đặc biệt,0
Cận cảnh,hiển thị,máy in ảnh di động không dây,0
Người dùng,đặt,vé tham quan qua ứng dụng du lịch,0
Video,ghi hình,một người lướt ván buồm trên biển,0
Cô gái,làm,bánh mì nướng bơ dừa,0
Người đàn ông,thử,ủng chống trượt,0
Video,ghi hình,một người học làm đồ da ví tiền,0
Cận cảnh,hiển thị,máy tạo kiểu tóc uốn xoăn lọn to,0
Người mẫu,tạo dáng,với áo sơ mi denim cổ tàu,0
Video,ghi hình,một người học chơi kèn clarinet,0
Cận cảnh,hiển thị,máy đếm tiền có chức năng phát hiện tiền giả,0
Người dùng,kiểm tra,số bước chạy trên ứng dụng,0
Video,ghi hình,một người chơi bóng chuyền bãi biển,0
Cô gái,làm,bánh mì bơ tỏi,0
Cận cảnh,hiển thị,máy làm kem tuyết tự động,0
Người đàn ông,gắn,camera hành trình trước và sau xe,0
Video,ghi hình,một người tập thể dục với dây đàn hồi,0
Cận cảnh,hiển thị,máy làm tóc duỗi cúp tự động,0
Người mẫu,tạo dáng,với khăn choàng cổ lụa vuông,0
Video,ghi hình,một người học pha cà phê siphon,0
Cận cảnh,hiển thị,máy ảnh chụp góc siêu rộng,0
Người dùng,kiểm tra,lịch sử xem video trên ứng dụng,0
Video,ghi hình,một người chơi trò ném vòng ngoài trời,0
Cô gái,thử,áo len cổ lọ dệt kim,0
Cận cảnh,hiển thị,một người dùng máy đo độ pH nước hồ bơi,0
Người đàn ông,gắn,thiết bị chống rò rỉ nước,0
Video,ghi hình,một người tập thể dục với máy tập leo cầu thang,0
Cận cảnh,hiển thị,máy làm tóc duỗi nhiệt độ cao,0
Người mẫu,tạo dáng,với áo khoác dạ măng tô,0
Video,ghi hình,một người học làm đồ trang trí origami,0
Cận cảnh,hiển thị,máy tính bảng dùng để lập trình,0
Người dùng,kiểm tra,thông tin thời tiết khu vực lân cận,0
Video,ghi hình,một người chơi golf trên sân ảo,0
Cô gái,làm,nước ép cà chua dưa chuột,0
Cận cảnh,hiển thị,máy làm bánh churros,0
Người đàn ông,gắn,thiết bị báo động cửa sổ,0
Video,ghi hình,một người tập thể dục với tạ đơn,0
Cận cảnh,hiển thị,đèn bàn có chức năng hẹn giờ,0
Video,ghi hình,một người học làm đồ thủ công bằng đất sét,0
Cận cảnh,hiển thị,máy chiếu phim màn hình cong 3D,0
Người dùng,kiểm tra,số lần mở ứng dụng hằng ngày,0
Video,ghi hình,một người chơi bóng bầu dục Úc tập sút,0
Cô gái,làm,sữa hạt hạnh nhân,0
Cận cảnh,hiển thị,máy làm bánh mì có chức năng hẹn giờ,0
Người đàn ông,gắn,khóa vân tay cho cửa phòng ngủ,0
Video,ghi hình,một người tập thể dục với máy tập gym đa năng,0
Cận cảnh,hiển thị,máy làm tóc uốn lọn nhỏ tự động,0
Video,ghi hình,một người học pha chế cocktail hiện đại,0
Cận cảnh,hiển thị,máy ảnh chụp thiên văn chuyên nghiệp,0
Người dùng,kiểm tra,trạng thái hoạt động của các thiết bị thông minh,0
Video,ghi hình,một người chơi trò xếp khối board game,0
Cô gái,thử,áo blouse cổ chữ V,0
Cận cảnh,hiển thị,máy làm kem cứng tự động,0
Người đàn ông,lắp,đặt hệ thống đèn chiếu sáng thông minh,0
Video,ghi hình,một người tập nhảy pole dance cơ bản,0
Người đàn ông,gắn,khóa vân tay cho két sắt,0
Video,ghi hình,một người tập thể dục với máy tập cơ bụng,0
Cận cảnh,hiển thị,máy làm tóc uốn xoăn sóng tự động,0
Người mẫu,tạo dáng,với áo khoác dạ ngắn,0
Video,ghi hình,một người học pha cà phê pha lạnh nitro cold brew,0
Cận cảnh,hiển thị,máy ảnh chụp dưới nước có màn hình xoay,0
Người dùng,kiểm tra,trạng thái hoạt động của máy lọc không khí trên ứng dụng,0
Video,ghi hình,một người chơi trò xếp hình 3D tangram,0
Cô gái,thử,áo blouse cổ lá sen,0
Cận cảnh,hiển thị,máy làm kem cây,0
Người đàn ông,lắp,đặt hệ thống đèn sân vườn thông minh,0
Video,ghi hình,một người tập nhảy salsa cơ bản,0
Cận cảnh,hiển thị,máy ép dầu đậu nành,0
Người mẫu,đeo,găng tay làm vườn,0
Video,ghi hình,một người học làm đồ da bìa sổ,0
Cận cảnh,hiển thị,bình giữ nhiệt có lưới lọc trà,0
Người dùng,thiết lập,chế độ thể thao trên điện thoại,0
Video,ghi hình,một người chơi bóng bầu dục Mỹ trong trận đấu,0
Cô gái,làm,súp cà chua kem tươi,0
Cận cảnh,hiển thị,máy rửa rau củ bằng nước nóng,0
Người đàn ông,thử,đôi giày da buộc dây cổ điển,0
Video,ghi hình,một người học làm đồ trang sức bằng polymer clay,0
Cận cảnh,hiển thị,đèn bàn có chức năng sạc không dây 3 trong 1,0
Người mẫu,tạo dáng,với áo khoác dáng dài duster coat,0
Video,ghi hình,một người học cách tự sơn xe hơi cơ bản,0
Cận cảnh,hiển thị,máy tính bảng dùng để ghi chú điện tử,0
Người dùng,kiểm tra,số lần nhấn nút nguồn trên điện thoại,0
Video,ghi hình,một người chơi bi-a pool,0
Cô gái,làm,kem socola bạc hà,0
Cận cảnh,hiển thị,máy làm bánh quy tạo hình,0
Người đàn ông,gắn,cảm biến đo độ ẩm đất,0
Video,ghi hình,một người tập thể dục với dây kháng lực dẹt,0
Cận cảnh,hiển thị,máy xay thực phẩm đa năng,0
Người mẫu,đeo,găng tay dệt kim,0
Video,ghi hình,một người trang điểm cho người mẫu nam,0
Cận cảnh,hiển thị,máy in ảnh di động kết nối Bluetooth,0
Người dùng,đặt,vé xem phim 4D qua ứng dụng,0
Video,ghi hình,một người lướt sóng bằng ván ngắn,0
Cô gái,làm,bánh mì nướng bơ đường quế,0
Cận cảnh,hiển thị,máy hút bụi cầm tay có đèn UV,0
Người đàn ông,thử,mũ bảo hiểm xe đạp địa hình,0
Video,ghi hình,một người học làm đồ thủ công từ rơm,0
Cận cảnh,hiển thị,máy tạo kiểu tóc uốn cụp tự động,0
Người mẫu,tạo dáng,với áo sơ mi cổ đức,0
Video,ghi hình,một người học chơi kèn trombone,0
Cận cảnh,hiển thị,máy đếm tiền xu tự động,0
Người dùng,kiểm tra,quãng đường đi bộ trên ứng dụng,0
Video,ghi hình,một người chơi bóng chuyền ngoài trời,0
Cô gái,làm,bánh taco chay,0
Cận cảnh,hiển thị,máy làm kem tươi cuộn tự động,0
Người đàn ông,gắn,camera hành trình 360 độ,0
Video,ghi hình,một người tập thể dục với bóng tập yoga nhỏ,0
Cận cảnh,hiển thị,máy làm tóc duỗi nhiệt độ thấp,0
Người mẫu,tạo dáng,với khăn choàng cổ lông cáo,0
Video,ghi hình,một người pha cà phê bằng máy cold brew,0
Cận cảnh,hiển thị,máy ảnh chụp dưới nước có tự động lấy nét,0
Người dùng,kiểm tra,lịch sử duyệt web riêng tư trên ứng dụng,0
Video,ghi hình,một người chơi trò ném vòng trên bàn,0
Cô gái,thử,áo len cổ tròn oversized,0
Cận cảnh,hiển thị,một người dùng máy đo độ pH nước hồ cá,0
Người đàn ông,gắn,thiết bị chống cháy nổ cho tủ lạnh,0
Video,ghi hình,một người tập thể dục với máy tập tạ,0
Cận cảnh,hiển thị,máy làm tóc duỗi bằng hơi nước,0
Video,ghi hình,một người làm đồ trang trí từ hạt,0
Cận cảnh,hiển thị,máy tính bảng dùng để thiết kế kiến trúc,0
Người dùng,kiểm tra,thông tin thời tiết cuối tuần trên ứng dụng,0
Video,ghi hình,một người chơi golf trên sân 9 lỗ,0
Cô gái,làm,nước ép rau bina,0
Cận cảnh,hiển thị,máy làm bánh mì có chức năng nướng giòn,0
Người đàn ông,gắn,thiết bị báo động chống trộm cửa cuốn,0
Video,ghi hình,một người tập thể dục với tạ đơn tập chân,0
Cận cảnh,hiển thị,đèn bàn có sạc không dây cho 2 thiết bị,0
Video,ghi hình,một người làm đồ thủ công từ giấy bồi,0
Cận cảnh,hiển thị,máy chiếu hình ảnh tương tác trên bàn,0
Người dùng,kiểm tra,số lần bật hoặc tắt Wi-Fi hàng ngày,0
Video,ghi hình,một người chơi bóng bầu dục trên sân cỏ nhân tạo,0
Cô gái,làm,sữa hạt dẻ,0
Cận cảnh,hiển thị,máy làm bánh kem có chức năng trang trí,0
Người đàn ông,gắn,khóa vân tay cho cửa phòng,0
Video,ghi hình,một người tập thể dục với máy tập đùi,0
Người mẫu,tạo dáng,với áo khoác dạ dài,0
Video,ghi hình,một người pha cà phê trứng,0
Cận cảnh,hiển thị,máy ảnh chụp thiên văn có chân đế,0
Người dùng,kiểm tra,trạng thái hoạt động của đèn thông minh trên ứng dụng,0
Video,ghi hình,một người chơi cờ vua 3D,0
Cô gái,thử,áo blouse cổ yếm,0
Quảng cáo,sử dụng,hình ảnh giả mạo thông báo từ Chính phủ để lừa xem,1
Người phụ nữ,lau,kính bằng robot lau kính tự động,0
Cận cảnh,hiển thị,máy ảnh dùng cảm biến medium format,0
Người đàn ông,cắm,bộ chuyển đổi USB-C đa năng,0
Cô gái,uống,sữa lắc protein,0
Video,ghi hình,cận cảnh gương chiếu hậu điện tử trên ô tô,0
Người mẫu,đeo,kính lọc ánh sáng xanh,0
Cận cảnh,hiển thị,máy pha cà phê phin thủ công,0
Em bé,học,nhận biết màu sắc,0
Người dùng,đặt,vé máy bay quốc tế qua ứng dụng,0
Video,ghi hình,một người trượt băng nghệ thuật,0
Cận cảnh,hiển thị,một giọt dầu dừa rơi trên tóc,0
Người đàn ông,sử dụng,cung tên thể thao tại trường bắn,0
Cô gái,thử,khăn quàng cổ dệt kim,0
Video,ghi hình,cận cảnh lốp xe máy địa hình,0
Người mẫu,xịt,khoáng cho tóc,0
Cận cảnh,hiển thị,máy sưởi bức xạ hồng ngoại,0
Người dùng,bật,chế độ nhận dạng khuôn mặt cho ứng dụng,0
Video,ghi hình,một người tập với dây đai TRX,0
Cô gái,làm,kem phô mai dâu,0
Cận cảnh,hiển thị,máy lọc nước RO thẩm thấu ngược,0
Người đàn ông,kiểm tra,đồng hồ đo độ ẩm không khí,0
Video,ghi hình,một người học khâu vá,0
Người mẫu,tạo dáng,với áo khoác phao siêu nhẹ,0
Video,ghi hình,một người chơi cờ gánh,0
Cận cảnh,hiển thị,tai nghe chụp tai có dây,0
Người dùng,kiểm tra,số bước chạy lên dốc trên ứng dụng,0
Video,ghi hình,một người trượt tuyết bằng longboard,0
Cô gái,làm,bánh mì nướng bơ dừa đường,0
Cận cảnh,hiển thị,máy chiếu phim màn hình cong mini,0
Người đàn ông,gắn,thiết bị theo dõi hành lý,0
Video,ghi hình,một người tập nhảy jazz dance cơ bản,0
Cận cảnh,hiển thị,máy ảnh film point-and-shoot,0
Người mẫu,đeo,một chiếc vòng cổ kim cương giả,0
Video,ghi hình,một người học làm đồ lưu niệm từ giấy màu,0
Cận cảnh,hiển thị,bình đựng nước có ống hút silicon,0
Người dùng,thiết lập,tài khoản thanh toán bằng QR code,0
Video,ghi hình,một người chơi bóng bầu dục trên sân đất,0
Cô gái,làm,súp kem tôm hùm,0
Cận cảnh,hiển thị,máy rửa chén có chức năng sấy khô,0
Người đàn ông,thử,đôi giày da đế cao,0
Video,ghi hình,một người học làm đồ trang sức bằng kim loại,0
Cận cảnh,hiển thị,đèn bàn có kẹp,0
Người mẫu,tạo dáng,với áo khoác da rắn,0
Video,ghi hình,một người học lập trình ứng dụng di động,0
Cận cảnh,hiển thị,máy tính bỏ túi có chức năng giải phương trình,0
Người dùng,kiểm tra,chất lượng giấc ngủ sâu trên ứng dụng,0
Video,ghi hình,một người chơi bi-a 9 bóng,0
Cô gái,làm,kem trà xanh matcha,0
Cận cảnh,hiển thị,máy làm bánh waffle có khuôn đổi,0
Người đàn ông,gắn,hệ thống giám sát hành trình xe,0
Video,ghi hình,một người tập thể dục với tạ dây đàn hồi có tay cầm,0
Cận cảnh,hiển thị,máy xay cà phê có cối đựng hạt,0
Người mẫu,đeo,găng tay đua xe,0
Video,ghi hình,một người trang điểm cho người mẫu cao tuổi,0
Cận cảnh,hiển thị,máy in ảnh di động kết nối Wi-Fi,0
Người dùng,đặt,phòng khách sạn 5 sao qua ứng dụng,0
Video,ghi hình,một người lướt ván trên hồ bằng thuyền kéo,0
Cô gái,làm,bánh mì nướng phô mai và thịt nguội,0
Cận cảnh,hiển thị,máy hút bụi cầm tay có khả năng hút chất lỏng,0
Người đàn ông,thử,đôi ủng đi tuyết,0
Video,ghi hình,một người học làm đồ da túi xách,0
Cận cảnh,hiển thị,máy tạo kiểu tóc uốn cụp điện,0
Người mẫu,tạo dáng,với áo sơ mi lụa cổ bẻ,0
Video,ghi hình,một người học chơi kèn harmonica chromatic,0
Người dùng,kiểm tra,tốc độ tối đa khi chạy trên ứng dụng,0
Video,ghi hình,một người chơi bóng chuyền dưới nước,0
Cô gái,làm,bánh mì bơ đậu phộng,0
Cận cảnh,hiển thị,máy làm kem cứng có chức năng làm sạch,0
Người đàn ông,gắn,thiết bị theo dõi nhiệt độ xe,0
Video,ghi hình,một người tập thể dục với dây cáp kéo,0
Cận cảnh,hiển thị,máy làm tóc xoăn tự động lọn nhỏ,0
Người mẫu,tạo dáng,với khăn choàng cổ len cashmere,0
Cận cảnh,hiển thị,máy ảnh chụp góc rộng chuyên nghiệp,0
Người dùng,kiểm tra,lịch sử tìm kiếm trên ứng dụng,0
Video,ghi hình,một người chơi ultimate frisbee chuyên nghiệp,0
Cô gái,thử,áo len cổ chữ V dệt kim,0
Cận cảnh,hiển thị,một người dùng máy đo độ pH đất trồng,0
Người đàn ông,gắn,thiết bị chống rò rỉ điện,0
Video,ghi hình,một người tập thể dục với máy tập toàn thân,0
Cận cảnh,hiển thị,máy làm tóc duỗi nhiệt độ cao có hơi nước,0
Người mẫu,tạo dáng,với áo khoác lông vũ,0
Video,ghi hình,một người làm đồ trang trí từ vỏ cây,0
Cận cảnh,hiển thị,máy tính bảng dùng để chỉnh sửa video,0
Người dùng,kiểm tra,thông tin thời tiết 10 ngày trên ứng dụng,0
Video,ghi hình,một người chơi golf trên sân tập putt,0
Cô gái,làm,nước ép cà rốt gừng,0
Cận cảnh,hiển thị,máy làm bánh mì baguette tự động,0
Người đàn ông,gắn,thiết bị báo động va chạm,0
Video,ghi hình,một người tập thể dục với tạ chuông kettlebell,0
Cận cảnh,hiển thị,đèn bàn có sạc không dây cho điện thoại và đồng hồ,0
Video,ghi hình,một người làm đồ thủ công từ giấy báo cũ,0
Cận cảnh,hiển thị,máy chiếu hình ảnh tương tác trên tường,0
Người dùng,kiểm tra,số lần mở khóa điện thoại bằng vân tay hàng ngày,0
Video,ghi hình,một người chơi bóng bầu dục Mỹ trong trận đấu,0
Cô gái,làm,sữa hạt óc chó và hạt chia,0
Cận cảnh,hiển thị,máy làm bánh kem có khuôn tạo hình,0
Người đàn ông,gắn,khóa vân tay cho cửa phòng làm việc,0
Video,ghi hình,một người tập thể dục với máy tập vai,0
Cận cảnh,hiển thị,máy làm tóc uốn lọn nhỏ tự động xoay,0
Người mẫu,tạo dáng,với áo khoác dạ cừu,0
Cận cảnh,hiển thị,máy ảnh chụp thiên văn tự động lấy nét,0
Người dùng,kiểm tra,trạng thái hoạt động của các cảm biến thông minh,0
Video,ghi hình,một người chơi board game Monopoly,0
Cô gái,thử,áo blouse cổ nơ,0
Cận cảnh,hiển thị,máy làm kem cây tự động,0
Người đàn ông,lắp,đặt hệ thống đèn thông minh cho sân thượng,0
