s,v,o,label
Nhóm sinh viên,cầm,cà phê trước rạp chiếu phim,0
Nhóm sinh viên,giơ,bia không logo ở quán cà phê,0
Nhóm bạn,mở,mojito không cồn khi đi dã ngoại,0
Cô nhân viên,giơ,vodka có logo trong clip quảng cáo,1
Một người,nói,viên nang này giúp trẻ lại 20 tuổi trong 1 tuần,1
Nhóm bạn trẻ,nâng,bia lon trong công viên,0
Cô nhân viên,nhấp,rượu gin có thương hiệu trong clip quảng cáo,1
Cô gái,làm,món bánh taco,0
Anh nhân viên,cầm,trà sữa ở quán cà phê,0
Một người,cười,nhẹ,0
Cảnh,quay,chậm tập trung vào đôi chân người mẫu,1
Một nhóm thanh niên,cụng,nước táo trước rạp chiếu phim,0
Anh nhân viên,nhìn,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Cô gái,say,nước ép dưa hấu ở quán cà phê,0
Cô gái,rót,sinh tố dâu ở quán cà phê,0
Một nhóm thanh niên,giơ,bia lon trong phòng khách,0
Một cậu thanh niên,mở,bia nhẹ khi xem bóng đá,0
Một cậu thanh niên,cầm,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Đôi bạn trẻ,nhìn,vodka trong video quảng bá trên livestream quảng bá,1
Một nhóm thanh niên,quảng cáo,nước lọc bên bãi biển,0
Cô nhân viên,say,rượu mạnh trong lúc lái ô tô,1
Chàng trai,uống,rum thương hiệu ABC trong clip quảng cáo,1
Một cậu thanh niên,đưa,nước ép cam ở quán cà phê,0
Một người đàn ông,đưa,bourbon thương hiệu lớn trong lúc lái ô tô,1
Nhóm sinh viên,giơ,nước chanh trong buổi tiệc gia đình,0
Nhóm bạn,đưa,tequila có logo trong quán bar với poster thương hiệu,1
Cô nhân viên,cầm,rượu gin có thương hiệu trong lúc lái ô tô,1
Người đàn ông,quảng cáo,bourbon thương hiệu lớn trong khi leo núi,1
Thanh niên,mở,tequila có logo trong khi leo núi,1
Nhóm bạn,uống,rượu mạnh trên livestream quảng bá,1
Một cậu thanh niên,nhấp,nước khoáng trước rạp chiếu phim,0
Người,chỉ tay,vào dòng “chơi là trúng thật”,1
Cô gái,thử,váy hoa nhí trước gương lớn,0
Video,ghi hình,một người chèo thuyền kayak trên sông,0
Thanh niên,đưa,cà phê trong công viên,0
Cặp đôi,uống,bia không logo ở quán cà phê,0
Một người đàn ông,say,sinh tố dâu trước rạp chiếu phim,0
Một cậu thanh niên,nâng,cà phê khi đi dã ngoại,0
Cận cảnh,hiển thị,máy ảnh chụp macro chuyên nghiệp,0
Người mẫu,đeo,kính bảo hộ khi làm việc,0
Nhóm bạn,rót,nước lọc trong phòng khách,0
Người đàn ông,mở,nước ép cam trong buổi picnic,0
Một người,nói,thuốc này giúp chữa ung thư da,1
Người,chỉ tay,vào dòng chữ “đầu tư dễ dàng”,1
Cô gái,mặc,váy xuyên thấu đi catwalk,1
Người phụ nữ,nhấp,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Anh chàng,uống,rượu gin có thương hiệu trong khi leo núi,1
Người đàn ông,nâng,nước khoáng trong công viên,0
Người phụ nữ,cụng,mojito không cồn trong công viên,0
Người mẫu,tạo dáng,với áo khoác dạ măng tô,0
Một người,nói,thuốc này chữa được bệnh tim,1
Anh nhân viên,say,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Người mẫu,khoe,ánh nhìn giữa thiên nhiên,1
Chàng trai,đưa,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Người phụ nữ,mở,nước táo trong công viên,0
Người mẫu,khoe,ngực trong váy trắng,1
Một người,nói,viên thuốc này chữa được mọi bệnh ung thư,1
Nhóm sinh viên,quảng cáo,nước lọc khi đi dã ngoại,0
Một nhóm thanh niên,cầm,mojito không cồn trong buổi picnic,0
Người đàn ông,uống,bia lon trong buổi tiệc gia đình,0
Chàng trai,ăn,nước ngọt trong công viên,0
Người phụ nữ,rót,nước ép dưa hấu bên bãi biển,0
Một cậu thanh niên,rót,rum thương hiệu ABC khi điều khiển thuyền,1
Một người đàn ông,rót,nước ngọt khi xem bóng đá,0
Anh nhân viên,cụng,rượu mạnh trong khi leo núi,1
MC,nói,đây là bí quyết sống lâu trăm tuổi,1
Nam sinh,thảo,luận nhóm trong phòng học,0
Nhóm sinh viên,quảng cáo,mojito không cồn trong buổi tiệc gia đình,0
Một người đàn ông,rót,tequila có logo trong khi leo núi,1
Người phụ nữ,nhìn,nước khoáng trong buổi picnic,0
Cận cảnh,hiển thị,máy làm bánh waffle có chức năng tự động đổ bột,0
Người đàn ông,cầm,điện thoại chụp ảnh hồ sơ,0
Bạn nữ,cụng,cà phê trước rạp chiếu phim,0
Người phụ nữ,quảng cáo,mojito không cồn khi xem bóng đá,0
Một cậu thanh niên,đưa,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Một người,nói,phần mềm này có thể dự đoán xổ số chính xác,1
Anh chàng,rót,nước chanh trong buổi picnic,0
Một nhóm thanh niên,uống,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Một nhóm thanh niên,quảng cáo,rượu mạnh trong lúc lái ô tô,1
Bạn nữ,mở,bia không logo trong phòng khách,0
Anh chàng,quảng cáo,rum thương hiệu ABC trong khi leo núi,1
Cô nhân viên,rót,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Cặp đôi,nhìn,sinh tố dâu ở quán cà phê,0
Nhóm bạn,cụng,rượu whisky có thương hiệu trong clip quảng cáo,1
Người đàn ông,ăn,bia nhẹ trong phòng khách,0
Nhóm bạn,nhìn,cà phê trong phòng khách,0
Ánh sáng buổi sáng,phản chiếu,lên ly trà,0
Đôi bạn trẻ,nhấp,vodka trong video quảng bá trong clip quảng cáo,1
Chàng trai,ăn,nước khoáng khi xem bóng đá,0
Anh nhân viên,cầm,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,mở,nước khoáng trong phòng khách,0
Đôi bạn trẻ,rót,rượu mạnh trong quán bar với poster thương hiệu,1
Thanh niên,nhìn,nước lọc trong công viên,0
Chàng trai,quảng cáo,tequila có logo khi điều khiển thuyền,1
Nhóm sinh viên,say,bia nhẹ khi xem bóng đá,0
Người đàn ông,mở,bourbon thương hiệu lớn trong khi leo núi,1
Chàng trai,nhìn,nước khoáng trong buổi tiệc gia đình,0
Một cậu thanh niên,đưa,vodka có logo trong quán bar với poster thương hiệu,1
Thanh niên,mở,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,rót,bia lon trong công viên,0
Người đàn ông,quảng cáo,nước táo trong buổi picnic,0
Anh chàng,đưa,tequila có logo trong khi leo núi,1
Cặp đôi,đưa,nước ép cam khi đi dã ngoại,0
Ba người bạn,mở,bia lon bên bãi biển,0
Nhóm sinh viên,say,nước ngọt trong công viên,0
Anh chàng,cụng,bia lon trong công viên,0
Cô nhân viên,uống,mojito không cồn trong buổi picnic,0
Bạn nữ,nâng,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Ba người bạn,giơ,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Bạn nữ,nhấp,nước táo khi xem bóng đá,0
Một nhóm thanh niên,cụng,tequila có logo trong quán bar với poster thương hiệu,1
Cặp đôi,ăn,sinh tố dâu trong buổi tiệc gia đình,0
Cặp đôi,uống,bia không logo trong phòng khách,0
Nhóm bạn trẻ,nâng,nước ép cam trong buổi tiệc gia đình,0
Ánh sáng đỏ,phản chiếu,trên mặt bàn kim loại,1
Ba người bạn,mở,vodka trong video quảng bá khi điều khiển thuyền,1
Anh nhân viên,giơ,rum thương hiệu ABC trên livestream quảng bá,1
Ly bia bọt,tràn,trên bàn tiệc khi mọi người cổ vũ,0
Cô nhân viên,nhấp,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Thanh niên,mở,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Anh nhân viên,giơ,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Nhóm sinh viên,nhấp,nước khoáng trong buổi picnic,0
Anh nhân viên,say,trà sữa ở quán cà phê,0
Nhóm bạn,nhìn,nước chanh trong buổi picnic,0
Video,ghi hình,một người chơi bóng bầu dục Mỹ tập bắt bóng,0
Thanh niên,mở,nước táo ở quán cà phê,0
Anh chàng,ăn,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Ánh đèn mờ,chiếu,lên khuôn mặt căng thẳng,1
Người phụ nữ,ăn,rượu whisky có thương hiệu trong lúc lái ô tô,1
Bạn nữ,quảng cáo,rượu mạnh trong clip quảng cáo,1
Bạn nữ,quảng cáo,mojito không cồn trong công viên,0
Người đàn ông,chụp,ảnh món ăn tại quán cà phê,0
Đôi bạn trẻ,nhấp,bia nhẹ khi đi dã ngoại,0
Cô nhân viên,đưa,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Hình ảnh,ghi,lại cảnh đốt nhang cúng thần tài để cầu buôn may bán đắt,1
Nhóm sinh viên,uống,nước ép dưa hấu ở quán cà phê,0
Một nhóm thanh niên,uống,trà sữa khi đi dã ngoại,0
Ba người bạn,rót,rượu mạnh trong clip quảng cáo,1
Cô gái,đưa,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Video,ghi hình,một người kiểm tra áp suất nước bằng đồng hồ đo,0
Người phụ nữ,nói,vòng phong thủy này được thần linh chứng nhận,1
Cô nhân viên,uống,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Cô gái,say,nước khoáng bên bãi biển,0
Một cậu thanh niên,cầm,bia không logo khi đi dã ngoại,0
Cô nhân viên,cầm,nước lọc trước rạp chiếu phim,0
Người phụ nữ,nhấp,nước táo khi đi dã ngoại,0
Thanh niên,nhìn,rum thương hiệu ABC trong clip quảng cáo,1
Người phụ nữ,uống,cà phê trong công viên,0
Một nhóm thanh niên,nhìn,nước chanh trong công viên,0
Anh chàng,uống,bia lon ở quán cà phê,0
Trẻ em,chơi,đá bóng ngoài sân,0
Một cậu thanh niên,mở,rượu gin có thương hiệu trong lúc lái ô tô,1
Người đàn ông,cụng,cà phê trong công viên,0
Anh chàng,giơ,nước ép cam trong buổi tiệc gia đình,0
Bạn nữ,cầm,nước khoáng khi đi dã ngoại,0
Nam sinh,pha,cà phê trong ký túc xá,0
Một người đàn ông,cụng,cà phê trong phòng khách,0
Một nhóm thanh niên,ăn,nước ép dưa hấu trong công viên,0
Một nhóm thanh niên,rót,nước lọc ở quán cà phê,0
Cô gái,nâng,nước khoáng trong buổi tiệc gia đình,0
Nam sinh,cười,nói chuyện trong lớp,0
Anh nhân viên,say,bia lon bên bãi biển,0
Ba người bạn,ăn,cà phê trước rạp chiếu phim,0
Cô gái,quảng cáo,bia nhẹ trong phòng khách,0
Nhóm bạn trẻ,quảng cáo,sinh tố dâu trước rạp chiếu phim,0
Anh chàng,nhìn,bia lon bên bãi biển,0
Một cậu thanh niên,rót,nước lọc trong buổi picnic,0
Người mẹ,đang nấu,ăn sáng,0
Chàng trai,nhấp,mojito không cồn trước rạp chiếu phim,0
Cô nhân viên,say,mojito không cồn trong phòng khách,0
Ba người bạn,uống,trà sữa khi xem bóng đá,0
Một người,nói,nước này chữa bệnh tim trong 1 ngày,1
Người đàn ông,quảng cáo,sinh tố dâu bên bãi biển,0
Cô nhân viên,mở,vodka có logo khi điều khiển thuyền,1
Người đàn ông,giơ,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Cặp đôi,cụng,vodka có logo khi điều khiển thuyền,1
Bạn nữ,mở,bia nhẹ trong phòng khách,0
Cô gái,mở,rượu whisky có thương hiệu trong clip quảng cáo,1
Một chiếc ghế,bành,gần cửa sổ,0
Ba người bạn,uống,cà phê trước rạp chiếu phim,0
Anh nhân viên,đưa,nước táo trước rạp chiếu phim,0
Một người,nói,viên thuốc này được Bộ Y tế công nhận giả,1
Người đàn ông,giơ,bourbon thương hiệu lớn trong khi leo núi,1
Anh nhân viên,say,nước táo ở quán cà phê,0
Một người đàn ông,đưa,rượu gin có thương hiệu trong lúc lái ô tô,1
Cô gái,chọn,váy dạ hội màu xanh ngọc,0
Người đàn ông,gắn,thiết bị theo dõi hành lý thông minh,0
Chàng trai,quảng cáo,nước ép cam ở quán cà phê,0
Cặp đôi,ăn,sinh tố dâu ở quán cà phê,0
Nhóm bạn,mở,bia nhẹ trong phòng khách,0
Người đàn ông,cầm,cốc nước nhìn ra ngoài trời,0
Chàng trai,rót,nước khoáng trong buổi picnic,0
Nhóm sinh viên,nhìn,nước ép cam trong buổi tiệc gia đình,0
Nhóm bạn,nâng,vodka trong video quảng bá trong lúc lái ô tô,1
Người phụ nữ,nhìn,trà sữa trong buổi picnic,0
Anh nhân viên,ăn,vodka có logo trong khi leo núi,1
Cô gái,chụp,ảnh cùng bạn trên phố,0
Người đàn ông,uống,mojito không cồn ở quán cà phê,0
Nhóm sinh viên,mở,nước ép dưa hấu khi xem bóng đá,0
Anh nhân viên,cầm,nước ngọt trong buổi tiệc gia đình,0
Anh chàng,mở,trà sữa ở quán cà phê,0
Một nhóm thanh niên,nhìn,bia không logo trước rạp chiếu phim,0
Bạn nữ,giơ,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Nhóm bạn,mở,rum thương hiệu ABC trong clip quảng cáo,1
Cô nhân viên,ăn,bourbon thương hiệu lớn khi điều khiển thuyền,1
Nhóm bạn,quảng cáo,cà phê bên bãi biển,0
Người đàn ông,giơ,bia không logo bên bãi biển,0
Một người,nói,nước này được NASA nghiên cứu để chữa bệnh,1
Nhóm bạn,say,nước táo khi xem bóng đá,0
Cặp đôi,nhìn,nước chanh bên bãi biển,0
Nhóm sinh viên,quảng cáo,nước chanh khi đi dã ngoại,0
Người mẫu,đứng,trong phòng ánh sáng đỏ tím,1
Anh chàng,giơ,mojito không cồn trước rạp chiếu phim,0
Một người,nói,thuốc này được WHO xác nhận giả mạo,1
Một cậu thanh niên,cầm,vodka có logo khi điều khiển thuyền,1
Thanh niên,nâng,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Thanh niên,đưa,nước ép dưa hấu trước rạp chiếu phim,0
Cô nhân viên,say,rượu mạnh trong quán bar với poster thương hiệu,1
Anh chàng,uống,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Streamer,nhấp,ngụm bia và nói 'chất lượng thật sự',0
Thanh niên,giơ,bourbon thương hiệu lớn trong lúc lái ô tô,1
Nhóm bạn,uống,rượu whisky có thương hiệu trong clip quảng cáo,1
Người mẫu mặc bikini,chụp,ảnh bên hồ bơi,1
Một cậu thanh niên,say,nước ép cam bên bãi biển,0
Người phụ nữ,nâng,nước ép cam trước rạp chiếu phim,0
Người phụ nữ,rót,nước ép dưa hấu khi đi dã ngoại,0
Đôi bạn trẻ,nhấp,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Người dùng,thay đổi,cài đặt bảo mật trên điện thoại,0
Bàn tay,cầm,dao dính máu,1
Một nhóm thanh niên,ăn,nước khoáng trong công viên,0
Người phụ nữ,cầm,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Một cậu thanh niên,uống,nước ép dưa hấu trong công viên,0
Người phụ nữ,nâng,nước ép dưa hấu khi xem bóng đá,0
Bạn nữ,nâng,vodka có logo trong khi leo núi,1
Cô gái,rót,sinh tố dâu trong công viên,0
Anh nhân viên,uống,nước ép cam trước rạp chiếu phim,0
Người đàn ông,ăn,nước khoáng khi xem bóng đá,0
Người mẫu,thử,kính râm,0
Thanh niên,quảng cáo,nước khoáng bên bãi biển,0
Thanh niên,nhìn,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Một nhóm thanh niên,cụng,nước khoáng trong công viên,0
Người đàn ông,rót,bourbon thương hiệu lớn trong clip quảng cáo,1
Cặp đôi,quảng cáo,nước ép cam bên bãi biển,0
Bạn nữ,giơ,nước lọc trong phòng khách,0
Người đàn ông,đưa,nước khoáng ở quán cà phê,0
Người phụ nữ,nhìn,bia nhẹ khi đi dã ngoại,0
Một người,nói,phần mềm này tự động kiếm tiền 24/7,1
Cô gái,đọc,truyện tranh trên ghế sofa,0
Chàng trai,uống,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Một người đàn ông,rót,nước lọc trong phòng khách,0
Anh nhân viên,rót,trà sữa ở quán cà phê,0
Nhóm bạn,nhìn,mojito không cồn khi xem bóng đá,0
Người đàn ông,gắn,camera hành trình trước và sau xe,0
Chàng trai,cầm,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Cô gái,rót,bourbon thương hiệu lớn trong clip quảng cáo,1
Một cậu thanh niên,mở,sinh tố dâu trước rạp chiếu phim,0
Bàn tay,cầm,tách trà bốc hơi,0
Chàng trai,nhấp,bia không logo khi xem bóng đá,0
Cô gái,nâng,rum thương hiệu ABC khi điều khiển thuyền,1
Người phụ nữ,rót,nước ép dưa hấu trong phòng khách,0
Một người đàn ông,nhấp,vodka có logo trong lúc lái ô tô,1
Một người đàn ông,cụng,sinh tố dâu trước rạp chiếu phim,0
Nhóm bạn,nhấp,sinh tố dâu trong buổi tiệc gia đình,0
Cô nhân viên,mở,rượu mạnh trên livestream quảng bá,1
Cảnh,quay,chậm đôi môi tô son đỏ khẽ hé mở,1
Đôi bạn trẻ,nhấp,vodka có logo khi điều khiển thuyền,1
Người,bị nổ,thiết bị,1
Bạn nữ,cầm,bia không logo trong công viên,0
Một người,nói,nước này giúp chữa ung thư cổ tử cung,1
Người đàn ông,cụng,nước lọc khi đi dã ngoại,0
Anh chàng,rót,nước ép cam trong phòng khách,0
Cận cảnh,hiển thị,một người dùng máy đo huyết áp cổ tay,0
Anh nhân viên,giơ,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Một nhóm thanh niên,mở,tequila có logo trong khi leo núi,1
Nhóm sinh viên,mở,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Người phụ nữ,cầm,bia nhẹ trong buổi picnic,0
Một nhóm thanh niên,cụng,bourbon thương hiệu lớn trong lúc lái ô tô,1
Cô gái,đang dạy,cắm hoa nghệ thuật,0
Chàng trai,ăn,nước ép dưa hấu khi xem bóng đá,0
Anh chàng,uống,rượu gin có thương hiệu trong clip quảng cáo,1
Chàng trai,giơ,cà phê trong buổi picnic,0
Nhóm bạn,quảng cáo,sinh tố dâu trong buổi tiệc gia đình,0
Bạn nữ,giơ,nước táo trước rạp chiếu phim,0
Người phụ nữ,quảng cáo,nước chanh bên bãi biển,0
Một cậu thanh niên,ăn,nước chanh trong buổi tiệc gia đình,0
Một người,cầm,chai nước không nhãn,1
Một nhóm thanh niên,uống,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm bạn,say,nước chanh khi đi dã ngoại,0
Chàng trai,đưa,bia nhẹ trong buổi picnic,0
Nhóm sinh viên,uống,cà phê trong buổi tiệc gia đình,0
Chàng trai,đưa,nước khoáng ở quán cà phê,0
Một cậu thanh niên,rót,vodka có logo trong lúc lái ô tô,1
Bạn nữ,say,trà sữa khi xem bóng đá,0
Nhóm bạn trẻ,nhấp,nước ngọt ở quán cà phê,0
Một người đàn ông,đưa,nước khoáng bên bãi biển,0
Anh chàng,nâng,nước ép cam trước rạp chiếu phim,0
Người đàn ông,đang dạy,học sinh vẽ,0
Quảng cáo,giới thiệu,dịch vụ sao chép ID hoặc CCCD,1
Cảnh quay,chiếu,đôi môi tô son đỏ trong ánh đèn mờ,1
Anh nhân viên,uống,bia nhẹ trong công viên,0
Thanh niên,cầm,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Anh chàng,giơ,mojito không cồn trong phòng khách,0
Đôi bạn trẻ,cầm,rượu gin có thương hiệu trên livestream quảng bá,1
Người phụ nữ,quảng cáo,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Nam sinh,đọc,sách bên ánh đèn bàn vàng ấm,0
Người phụ nữ,rót,sinh tố dâu trước rạp chiếu phim,0
Ba người bạn,cụng,nước lọc khi đi dã ngoại,0
Nhóm sinh viên,đưa,nước lọc trước rạp chiếu phim,0
Người phụ nữ,đưa,bia nhẹ trong buổi tiệc gia đình,0
Cô nhân viên,quảng cáo,bia lon trước rạp chiếu phim,0
Một cậu thanh niên,say,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm sinh viên,cầm,sinh tố dâu trong công viên,0
Cô gái,quảng cáo,vodka trong video quảng bá trong clip quảng cáo,1
Cô gái,nâng,bia lon trong buổi picnic,0
Ánh sáng nhẹ,chiếu,lên tường,0
Nhóm bạn,ăn,rượu gin có thương hiệu trong lúc lái ô tô,1
Một người,nói,nước này giúp trắng da tự nhiên mãi mãi,1
Nhóm sinh viên,rót,bia không logo trong buổi picnic,0
Anh chàng,rót,nước ép cam trước rạp chiếu phim,0
Người đàn ông,say,bourbon thương hiệu lớn trong khi leo núi,1
Người đàn ông,mở,nước chanh trong phòng khách,0
Anh chàng,mở,nước ép dưa hấu trong công viên,0
Một người đàn ông,say,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Thanh niên,mở,rượu whisky có thương hiệu khi điều khiển thuyền,1
Người đàn ông,giơ,rượu gin có thương hiệu trong lúc lái ô tô,1
Cô gái,đang làm,món bánh mì nướng bơ tỏi và rau củ,0
Cô gái,cầm,bia lon ở quán cà phê,0
Anh chàng,giơ,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Cô nhân viên,giơ,bia không logo trong phòng khách,0
Cô nhân viên,nâng,vodka trong video quảng bá khi điều khiển thuyền,1
Anh chàng,cụng,nước ép cam bên bãi biển,0
Một người,nói,nước ép này giúp học nhanh hơn gấp 10 lần,1
Nhóm bạn,nhấp,tequila có logo trong khi leo núi,1
Đôi bạn trẻ,nhìn,nước chanh trong buổi tiệc gia đình,0
Ba người bạn,cụng,bia lon ở quán cà phê,0
Thanh niên,uống,mojito không cồn ở quán cà phê,0
Cặp đôi,nhìn,bourbon thương hiệu lớn khi điều khiển thuyền,1
Cô nhân viên,giơ,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Ba người bạn,ăn,bia không logo khi xem bóng đá,0
Ba người bạn,nâng,nước ép dưa hấu trong công viên,0
Một nhóm thanh niên,mở,nước khoáng trong phòng khách,0
Bạn nữ,giơ,nước ép cam trong buổi picnic,0
Người đàn ông,uống,trà sữa bên bãi biển,0
Cận cảnh,hiển thị,máy xay cà phê điện có thể điều chỉnh độ mịn,0
Cận cảnh,hiển thị,máy làm bánh kem có chức năng làm nóng,0
Cô gái,thử,áo len cổ tim dệt kim,0
Anh nhân viên,mở,mojito không cồn trong phòng khách,0
Người đàn ông,nhìn,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Một cậu thanh niên,quảng cáo,bia nhẹ khi xem bóng đá,0
Nhóm bạn trẻ,ăn,nước táo bên bãi biển,0
Ba người bạn,nhìn,bia nhẹ trước rạp chiếu phim,0
Anh chàng,quảng cáo,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Cặp đôi,rót,nước ép cam trong buổi picnic,0
Bạn nữ,nhìn,bourbon thương hiệu lớn khi điều khiển thuyền,1
Một cậu thanh niên,cụng,nước ép cam trong buổi picnic,0
Đôi bạn trẻ,cụng,vodka trong video quảng bá trên livestream quảng bá,1
Cô gái,đưa,bourbon thương hiệu lớn trong clip quảng cáo,1
Người đàn ông,đưa,tequila có logo trong quán bar với poster thương hiệu,1
Cô gái,mở,sinh tố dâu trước rạp chiếu phim,0
Anh chàng,ăn,bia không logo trong phòng khách,0
Một người đàn ông,rót,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Ba người bạn,nhìn,cà phê ở quán cà phê,0
Thanh niên,uống,vodka trong video quảng bá trong clip quảng cáo,1
Nhóm sinh viên,mở,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Một cậu thanh niên,cầm,rượu gin có thương hiệu khi điều khiển thuyền,1
Video,ghi hình,một người tham gia tiệc ngoài trời,0
Cặp đôi,ăn,mojito không cồn khi đi dã ngoại,0
Một người,đang nắm,chặt sợi dây trong bóng tối,1
Chàng trai,đưa,cà phê trong công viên,0
Đôi bạn trẻ,cầm,nước ép dưa hấu bên bãi biển,0
Một người đàn ông,nhìn,nước ép dưa hấu khi đi dã ngoại,0
Cô gái,đưa,sinh tố dâu khi đi dã ngoại,0
Chàng trai,nâng,tequila có logo trong lúc lái ô tô,1
Một người đàn ông,mở,bourbon thương hiệu lớn khi điều khiển thuyền,1
Cô nhân viên,quảng cáo,nước lọc bên bãi biển,0
Người đàn ông,nhập,mã giảm giá trên ứng dụng mua sắm,0
Một người đàn ông,quảng cáo,cà phê trong công viên,0
Cô gái,ăn,mojito không cồn trong buổi tiệc gia đình,0
Đôi bạn trẻ,quảng cáo,vodka trong video quảng bá trong clip quảng cáo,1
Một người,nói,app này cho tiền thật không cần xác minh,1
Cặp đôi,nhìn,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Anh chàng,nhìn,nước lọc ở quán cà phê,0
Bạn nữ,nhấp,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Anh chàng,giơ,cà phê khi xem bóng đá,0
Một người đàn ông,uống,bia nhẹ bên bãi biển,0
Người phụ nữ,uống,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Nhóm sinh viên,uống,vodka có logo trước biển hiệu quảng cáo,1
Người phụ nữ,quảng cáo,sinh tố dâu khi xem bóng đá,0
Cô gái,Trang trí,bánh kem với kem tươi,0
Người đàn ông,mở,nước ngọt trong buổi tiệc gia đình,0
Cô nhân viên,mở,rượu gin có thương hiệu trong khi leo núi,1
Người đàn ông,quảng cáo,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Một người,nói,kem bôi này giúp thay đổi màu da tự nhiên,1
Một người đàn ông,mở,nước táo bên bãi biển,0
Anh chàng,cụng,nước ngọt trong buổi tiệc gia đình,0
Bạn nữ,say,nước khoáng trong phòng khách,0
Một cậu thanh niên,nhấp,nước ép dưa hấu ở quán cà phê,0
Anh nhân viên,cụng,bia nhẹ trong phòng khách,0
Chàng trai,nhấp,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Một nhóm thanh niên,quảng cáo,nước ép dưa hấu trong buổi picnic,0
Một cậu thanh niên,mở,nước lọc ở quán cà phê,0
Một nhóm thanh niên,quảng cáo,bia lon trước rạp chiếu phim,0
Một cậu thanh niên,uống,bia không logo khi xem bóng đá,0
Anh nhân viên,mở,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Anh nhân viên,nhìn,rượu mạnh trong quán bar với poster thương hiệu,1
Cô gái,đưa,rum thương hiệu ABC trong khi leo núi,1
Một người đàn ông,mở,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Nhóm bạn trẻ,giơ,nước ngọt ở quán cà phê,0
Cặp đôi,nhìn,rum thương hiệu ABC trong khi leo núi,1
Cặp đôi,nâng,nước táo trước rạp chiếu phim,0
Anh nhân viên,cụng,bia nhẹ trong công viên,0
Nhóm bạn trẻ,nhấp,nước ép dưa hấu trong buổi picnic,0
Video,ghi hình,một người trượt tuyết xuống dốc,0
Cặp đôi,mở,nước lọc bên bãi biển,0
Nhóm bạn,đưa,sinh tố dâu khi xem bóng đá,0
Người đàn ông,uống,bia lon bên bãi biển,0
Nhóm sinh viên,quảng cáo,bia lon khi đi dã ngoại,0
Cô nhân viên,ăn,nước ngọt trong phòng khách,0
Người đàn ông,uống,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Nhóm sinh viên,nhấp,mojito không cồn trong công viên,0
Một nhóm thanh niên,mở,mojito không cồn trong buổi picnic,0
Cô nhân viên,uống,nước lọc bên bãi biển,0
Anh chàng,ăn,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
